Id,A,B,C,D,E,F,G,H,I,Air Quality
734,7.6,6.5,3.3,32.4,28.8,56.0,1.49,15.6,506,2
735,5.9,10.6,17.0,33.3,25.1,64.4,1.39,33.1,511,2
736,5.2,12.7,32.5,27.5,22.1,55.4,1.66,47.0,298,2
737,9.5,1.0,40.1,34.1,34.6,67.9,1.72,47.1,462,2
738,5.7,3.1,34.9,39.4,36.1,109.1,2.02,56.8,454,1
739,7.1,9.2,50.5,32.7,31.5,62.6,1.26,66.6,473,2
740,3.9,12.1,58.7,36.3,42.1,70.0,2.37,71.9,539,1
741,10.5,8.2,2.0,24.2,20.3,68.2,1.04,6.3,267,3
742,9.0,15.9,19.7,36.4,39.2,82.7,1.72,36.6,782,1
743,12.7,3.4,7.5,24.6,25.7,58.0,1.57,19.0,617,2
744,2.6,12.9,10.3,33.4,40.3,80.2,1.36,32.4,597,0
745,11.5,7.0,0.6,18.8,13.4,46.7,1.01,5.5,484,3
746,3.6,3.9,3.7,34.6,32.2,75.7,1.91,27.7,703,1
747,8.0,17.6,6.3,24.1,30.8,60.2,1.44,12.2,353,2
748,7.5,17.0,17.2,32.7,23.9,79.1,1.25,29.7,504,2
749,3.7,17.7,2.6,31.8,38.6,86.3,2.07,14.8,551,1
750,11.5,3.5,8.2,24.1,22.3,52.5,0.82,9.5,511,3
751,4.6,7.5,61.2,28.6,39.5,91.5,1.97,82.7,639,1
752,4.2,19.1,26.2,30.1,45.4,89.5,2.18,38.9,658,1
753,5.3,8.9,10.9,30.4,29.3,72.9,1.58,25.7,655,2
754,12.6,6.5,9.7,28.4,23.0,45.1,0.99,15.9,303,3
755,4.3,23.9,78.9,44.6,40.6,94.9,2.44,98.3,670,0
756,10.2,5.2,9.2,30.0,25.8,85.3,1.42,18.2,503,2
757,15.9,2.4,4.2,24.7,14.8,68.9,1.06,11.1,475,3
758,2.7,26.6,54.7,32.3,56.1,87.0,2.5,69.9,801,0
759,11.2,3.7,22.6,24.2,24.7,41.4,1.05,31.1,257,3
760,11.6,2.9,14.5,29.3,14.0,77.1,1.07,19.8,361,3
761,6.4,12.6,12.9,29.2,24.7,77.9,1.39,21.4,640,2
762,11.1,3.1,0.4,26.1,20.9,38.4,1.12,5.4,387,3
763,8.3,-0.3,10.2,33.7,23.8,88.9,1.7,19.0,405,2
764,2.5,21.5,77.1,35.5,34.2,109.1,2.42,94.8,870,0
765,5.9,5.6,7.6,33.8,26.7,88.3,1.44,13.1,654,2
766,3.4,22.9,23.2,37.0,35.4,71.8,1.82,38.6,516,1
767,10.8,3.2,11.1,22.8,14.8,60.1,1.11,14.9,525,3
768,2.6,11.5,31.2,51.3,34.3,58.0,3.32,48.3,538,0
769,6.0,9.7,1.0,32.5,34.3,55.8,1.84,13.5,325,2
770,16.0,6.0,30.6,29.2,22.6,65.3,1.11,34.2,334,3
771,5.1,14.6,1.8,37.2,45.2,65.7,1.45,20.4,506,1
772,6.3,8.7,14.9,27.6,24.3,89.6,1.53,33.8,582,2
773,5.5,8.6,39.0,26.8,27.4,58.5,1.59,46.5,466,2
774,3.8,11.0,12.4,38.3,25.4,103.6,1.87,27.7,441,1
775,11.9,5.5,27.9,25.2,12.7,61.7,1.08,33.6,300,3
776,5.0,7.1,57.2,21.7,20.9,74.1,1.63,74.9,580,2
777,10.9,5.6,12.0,24.6,17.2,42.6,1.2,15.2,516,3
778,3.7,3.0,14.0,35.1,28.3,78.2,1.98,32.1,597,1
779,8.4,29.2,1.5,30.6,32.6,76.2,1.87,15.1,715,1
780,10.7,4.9,9.9,23.8,14.6,65.2,0.97,14.2,331,3
781,3.9,22.6,7.4,35.5,33.8,71.8,1.91,27.5,676,1
782,11.9,5.7,5.9,27.4,25.2,69.9,0.89,9.5,589,3
783,5.3,21.2,35.2,37.0,41.1,80.1,1.84,49.4,469,1
784,8.3,10.8,20.8,37.2,29.5,94.4,1.66,37.1,531,1
785,11.3,2.6,11.1,20.0,24.2,61.2,1.08,17.2,209,3
786,11.2,4.8,0.6,24.6,29.2,62.9,0.99,2.6,387,3
787,11.6,5.2,19.2,23.9,16.8,42.1,1.12,25.4,352,3
788,3.5,13.0,26.9,41.0,38.4,60.7,2.25,56.7,673,1
789,5.4,6.5,36.7,22.3,31.4,82.6,1.56,44.8,350,2
790,3.5,21.7,42.7,36.5,25.3,62.0,2.48,54.8,623,1
791,10.9,9.0,2.3,31.3,21.1,56.1,1.41,11.6,588,2
792,5.5,12.3,18.7,31.6,31.6,81.1,1.45,30.0,664,2
793,15.4,4.3,14.4,22.3,16.5,49.8,1.1,18.5,500,3
794,10.7,14.2,33.6,22.7,30.8,73.0,1.72,38.6,576,2
795,2.7,22.7,12.2,48.9,45.4,62.0,2.27,35.7,865,0
796,11.5,3.4,11.7,28.1,15.4,64.0,0.93,13.8,373,3
797,9.5,9.5,16.6,30.7,23.3,66.4,1.53,24.4,379,2
798,3.1,16.1,31.2,31.5,32.2,72.2,2.7,62.0,747,0
799,6.2,21.2,30.3,32.0,40.4,84.4,1.99,39.1,454,1
800,19.0,4.2,0.6,27.3,14.0,61.6,0.87,2.3,465,3
801,13.4,4.1,0.8,27.7,14.3,69.4,0.86,8.4,425,3
802,10.9,5.9,23.5,25.3,12.5,47.1,1.19,28.9,223,3
803,4.5,17.5,12.6,34.3,52.7,94.8,2.02,30.7,934,0
804,4.9,16.2,9.6,37.3,31.2,85.0,2.22,23.9,592,1
805,7.6,10.2,22.2,32.4,23.0,76.4,1.47,30.0,331,2
806,6.8,22.2,4.6,22.1,32.4,73.9,2.1,14.5,492,1
807,3.7,16.9,2.4,48.8,38.2,92.0,2.84,24.9,664,0
808,10.4,5.9,18.0,26.4,22.8,52.2,1.12,25.6,539,3
809,3.8,2.8,2.8,39.6,28.9,87.7,2.05,12.5,692,1
810,3.4,22.5,34.6,30.3,25.8,88.4,1.48,49.5,583,1
811,6.0,9.4,26.3,28.3,17.7,59.6,1.45,36.6,278,2
812,6.4,12.2,28.6,31.2,24.6,84.0,1.3,39.4,438,2
813,5.6,11.9,6.1,27.7,19.2,56.2,1.61,17.1,507,2
814,12.2,3.4,5.3,18.0,16.8,52.5,0.9,11.4,550,3
815,5.1,5.9,4.6,39.1,33.3,84.8,2.11,19.1,620,1
816,10.5,7.1,2.3,25.6,22.3,79.9,0.87,5.6,516,3
817,4.8,24.6,80.5,39.2,32.5,84.3,2.37,107.9,450,1
818,14.2,6.1,12.1,20.3,18.0,77.6,0.89,19.5,308,3
819,5.7,12.5,1.5,32.2,24.3,69.4,1.89,14.1,481,2
820,13.1,4.0,6.7,28.5,21.8,71.0,0.97,13.1,510,3
821,6.2,9.3,38.8,31.9,30.6,66.3,1.55,40.0,381,2
822,5.1,11.6,7.1,44.4,23.3,70.0,1.71,19.5,762,1
823,5.4,7.3,0.4,28.8,35.2,49.0,1.43,9.3,553,2
824,7.4,9.8,18.0,32.4,26.1,57.8,1.71,29.1,299,2
825,10.4,6.5,13.9,25.1,21.2,54.5,1.02,16.1,300,3
826,12.8,3.8,2.5,23.8,15.1,42.1,1.12,7.3,529,3
827,7.1,6.5,142.3,26.3,30.5,91.1,1.18,157.0,480,2
828,6.1,9.3,12.0,32.2,26.2,68.5,1.52,23.4,370,2
829,16.1,3.7,1.3,27.2,22.7,60.5,0.95,4.7,241,3
830,5.7,12.1,28.1,31.2,15.6,51.4,1.44,41.1,386,2
831,8.2,0.6,22.1,28.3,28.0,56.4,1.48,30.3,331,2
832,12.4,7.1,4.6,23.9,15.4,66.7,0.95,7.9,362,3
833,3.3,28.8,13.4,49.6,37.8,79.9,2.71,26.4,639,0
834,4.5,2.8,3.4,32.3,42.3,72.8,2.04,30.6,636,0
835,5.2,8.8,2.8,34.7,17.2,80.3,1.56,10.9,324,2
836,5.1,25.3,22.7,37.7,37.1,107.5,2.58,53.0,543,0
837,11.5,9.1,0.9,24.6,23.4,42.1,0.83,10.3,545,3
838,12.9,6.2,0.4,27.7,25.3,60.2,1.05,5.7,218,3
839,6.6,12.9,0.9,26.8,34.8,98.6,2.0,21.6,712,1
840,13.3,3.5,1.0,22.3,26.8,65.7,0.91,5.7,282,3
841,5.7,7.8,7.1,28.0,19.6,86.9,1.77,16.5,665,2
842,6.2,13.6,10.0,35.4,24.0,75.0,1.5,18.8,390,2
843,13.5,5.9,4.7,27.1,25.3,74.1,1.0,8.7,555,3
844,12.3,3.5,5.8,23.2,24.6,69.7,0.97,14.1,579,3
845,5.2,8.2,59.7,34.9,29.5,63.0,1.07,69.2,568,2
846,6.3,29.6,35.2,44.8,38.3,97.8,2.8,58.0,816,0
847,6.8,30.2,70.6,41.3,45.0,90.6,2.93,88.5,902,0
848,4.7,20.9,21.9,33.5,37.1,82.9,1.72,45.6,591,1
849,5.3,17.8,3.8,27.7,32.9,83.6,2.09,19.9,632,1
850,7.5,22.5,9.9,38.6,36.3,111.4,1.74,20.0,591,1
851,8.4,6.5,27.7,24.1,35.3,72.6,1.95,36.5,493,2
852,4.5,18.6,55.5,33.8,35.2,66.1,2.06,79.2,636,1
853,6.1,5.8,41.8,30.3,22.5,69.4,1.57,51.2,434,2
854,11.5,3.1,7.5,23.8,23.1,44.4,0.9,11.9,602,3
855,7.5,15.2,53.4,26.8,17.6,83.0,1.82,69.0,668,2
856,8.1,14.5,6.4,31.6,43.5,100.3,1.79,21.2,558,1
857,2.9,14.4,48.9,32.2,41.1,60.7,2.79,65.1,875,0
858,12.1,7.0,1.1,22.4,15.2,42.8,1.03,8.7,216,3
859,10.8,7.3,14.8,27.2,19.7,46.3,1.05,18.8,496,3
860,6.0,10.6,32.1,30.1,23.7,91.0,1.44,38.5,363,2
861,2.9,9.3,31.0,29.6,51.2,76.1,2.7,48.7,788,0
862,7.2,10.2,1.8,25.4,21.3,71.8,1.33,11.8,506,2
863,9.0,10.0,2.8,29.9,23.7,51.4,1.43,14.2,321,2
864,5.9,4.3,66.8,22.8,28.3,67.9,1.17,79.8,397,2
865,4.2,11.1,33.3,42.5,34.1,80.9,2.28,44.4,682,1
866,3.6,9.5,22.8,37.4,31.1,105.6,2.68,44.9,563,1
867,5.9,13.0,0.4,36.6,39.9,109.9,1.57,16.4,690,1
868,5.7,8.4,61.8,29.1,28.5,77.1,1.71,76.5,591,2
869,10.6,5.6,9.0,29.7,19.6,72.2,1.09,10.4,409,3
870,5.1,7.7,11.5,29.9,22.2,84.5,1.69,24.0,424,2
871,7.0,12.5,6.2,35.9,34.0,69.9,2.18,17.2,447,1
872,11.3,6.5,7.0,30.6,17.0,41.9,1.12,11.5,486,3
873,6.9,12.2,0.5,35.2,30.8,85.5,1.91,12.4,318,2
874,10.1,1.1,33.8,20.6,19.9,60.3,1.07,38.3,207,3
875,10.9,7.0,26.5,22.5,26.4,40.7,1.18,31.8,452,3
876,11.4,1.6,16.6,26.8,21.0,75.7,1.01,23.9,390,3
877,8.3,8.3,35.8,36.4,43.1,111.6,2.32,67.0,813,0
878,13.7,6.3,12.3,25.1,25.0,42.6,1.08,20.1,455,3
879,7.6,9.6,16.1,36.2,23.4,63.6,1.73,27.3,574,2
880,4.9,15.8,3.9,35.4,33.5,78.9,1.97,15.7,695,1
881,6.0,0.8,12.6,32.7,23.5,93.0,1.51,23.5,598,2
882,14.3,5.9,0.3,28.0,11.8,65.5,1.12,7.1,337,3
883,17.9,5.4,2.0,29.1,20.3,76.2,0.98,7.3,404,3
884,5.8,13.9,2.4,25.9,31.7,59.9,1.47,6.1,388,2
885,12.0,17.0,9.5,42.0,37.6,77.9,2.38,31.0,484,0
886,5.1,12.3,12.1,32.9,24.7,63.1,1.57,17.5,467,2
887,11.3,4.5,6.2,29.8,34.0,85.5,1.34,15.4,405,2
888,7.9,11.5,4.7,32.0,29.4,88.8,1.62,13.5,604,2
889,5.3,9.0,165.5,34.1,45.3,79.1,1.95,190.7,846,0
890,4.1,15.3,10.3,42.8,36.9,116.1,2.34,31.6,755,0
891,7.3,14.6,11.3,26.2,29.3,52.6,1.55,11.5,397,2
892,17.9,3.1,1.5,26.1,17.2,54.5,0.98,5.8,327,3
893,10.4,6.0,2.5,19.1,26.0,64.9,1.08,10.5,368,3
894,5.6,4.9,2.2,34.1,33.6,72.9,1.43,15.6,526,2
895,5.5,13.1,55.5,23.2,31.4,88.9,1.19,60.9,351,2
896,3.6,10.6,14.0,27.6,37.6,79.3,2.24,40.2,608,1
897,10.4,1.7,3.8,19.5,23.8,42.7,1.06,8.6,390,3
898,9.4,3.9,16.4,31.2,23.0,54.0,1.59,22.8,492,2
899,5.3,12.7,2.5,31.5,29.9,53.9,1.58,10.8,395,2
900,5.9,22.2,41.8,47.7,38.3,69.2,2.58,50.7,651,1
901,5.2,20.1,1.1,27.7,26.5,81.8,1.33,8.9,317,2
902,8.8,14.7,4.1,24.6,27.0,52.4,1.4,18.1,356,2
903,3.6,14.7,16.4,36.4,25.7,107.9,2.03,32.0,686,1
904,14.8,4.6,8.2,31.2,16.3,54.1,0.88,15.0,531,3
905,3.7,6.2,19.5,37.6,50.3,94.4,2.47,27.3,889,0
906,15.9,2.0,24.7,25.0,16.1,63.5,0.91,27.0,407,3
907,4.3,27.5,90.1,41.0,48.8,82.3,1.52,109.2,450,1
908,5.2,12.0,51.0,26.5,22.3,79.2,1.54,58.8,344,2
909,6.5,0.4,4.7,36.0,33.5,75.2,1.72,10.5,336,2
910,10.2,4.5,1.2,23.6,25.8,76.1,1.01,5.8,306,3
911,5.3,5.3,19.7,26.7,31.8,48.8,1.27,23.8,538,2
912,6.5,11.9,0.4,31.6,38.4,105.9,1.34,15.7,421,1
913,10.6,8.0,1.3,21.8,19.8,43.3,0.84,5.1,451,3
914,12.5,5.3,24.3,29.4,30.5,56.0,1.64,41.9,375,2
915,6.4,10.2,17.8,34.6,37.4,86.1,1.44,28.9,414,2
916,4.8,9.6,28.0,26.5,56.6,86.3,2.02,54.1,603,0
917,3.1,16.7,12.1,33.5,49.8,58.9,2.02,29.4,678,0
918,16.1,4.0,20.7,22.6,14.1,54.6,1.04,25.1,429,3
919,3.4,17.7,21.1,24.6,27.0,71.2,1.93,41.7,528,1
920,3.5,15.8,40.3,42.2,36.8,83.4,1.39,49.7,766,1
921,5.2,14.5,11.7,28.3,28.6,82.7,1.27,19.7,430,2
922,17.1,4.3,21.7,20.3,16.5,63.0,0.89,24.1,191,3
923,10.5,6.3,2.4,21.3,15.5,48.3,1.08,5.8,296,3
924,10.3,0.9,8.7,28.4,25.0,44.5,1.03,16.6,208,3
925,10.7,3.2,5.1,22.2,15.7,43.1,1.0,9.0,377,3
926,4.6,22.8,33.8,31.3,31.0,73.8,1.92,46.6,681,1
927,7.4,10.5,56.3,30.9,22.8,60.3,1.4,68.7,426,2
928,5.7,12.8,6.0,27.8,16.8,75.4,1.47,14.4,539,2
929,6.7,3.1,11.0,32.3,25.8,80.6,1.26,17.6,670,2
930,10.2,5.8,1.7,26.0,20.2,66.5,1.0,5.4,399,3
931,10.1,6.1,0.4,23.5,17.2,60.1,1.02,7.2,384,3
932,6.0,7.2,43.0,25.7,22.5,67.7,1.35,52.4,415,2
933,13.4,3.6,20.8,24.0,12.9,45.3,0.77,25.7,346,3
934,10.4,16.6,5.6,31.8,24.4,80.1,1.56,7.6,679,2
935,4.8,10.2,27.7,33.1,25.8,61.0,1.84,39.2,448,1
936,12.2,6.0,19.2,22.9,18.8,50.0,0.95,23.4,225,3
937,6.7,14.3,68.9,31.4,24.0,94.3,1.99,72.8,347,2
938,12.6,1.4,26.1,23.9,22.3,65.3,1.03,33.5,499,3
939,3.0,28.6,48.8,38.6,36.2,72.2,2.21,67.7,860,0
940,5.2,20.6,70.1,49.8,50.3,79.2,1.91,82.7,617,1
941,13.3,6.3,1.5,23.1,19.3,60.1,1.08,8.0,340,3
942,11.1,7.9,4.3,31.0,19.5,71.4,0.99,10.3,212,3
943,4.4,12.2,18.6,32.8,21.4,73.6,2.21,39.5,590,1
944,11.1,3.7,3.0,26.6,26.8,64.1,0.95,11.3,550,3
945,11.1,4.4,7.6,22.9,26.3,52.6,0.99,15.3,517,3
946,11.3,3.2,26.1,30.7,19.0,71.1,0.78,34.5,512,3
947,11.9,5.4,3.6,20.2,20.5,40.4,1.03,13.5,475,3
948,12.0,3.2,10.2,26.2,13.9,80.8,0.86,16.3,328,3
949,10.1,6.0,28.7,25.4,12.3,73.2,1.13,35.4,371,3
950,7.0,10.8,33.0,33.4,25.4,59.9,1.64,41.0,406,2
951,12.3,6.3,13.2,26.7,18.9,41.7,0.9,18.9,550,3
952,3.9,17.1,29.5,34.5,37.9,71.4,2.09,52.6,744,1
953,5.5,9.7,35.8,40.5,22.2,70.4,1.33,44.7,398,2
954,2.9,29.2,48.1,35.6,43.7,75.3,3.03,63.6,587,0
955,6.8,5.2,31.7,27.1,47.6,79.9,2.0,50.9,447,1
956,5.2,19.4,4.9,26.7,26.3,85.4,2.22,11.9,421,1
957,4.5,25.2,25.7,39.2,45.6,111.2,2.25,46.9,692,0
958,4.9,24.4,59.5,38.1,40.5,96.6,2.41,79.6,863,0
959,11.1,4.3,19.2,33.6,17.1,48.8,1.04,27.3,267,3
960,14.7,3.9,24.8,27.0,12.9,67.8,1.1,28.9,559,3
961,5.1,18.2,26.6,41.9,46.3,90.1,2.38,50.7,531,0
962,7.3,7.2,25.1,29.9,26.5,78.6,1.49,30.1,323,2
963,5.0,6.8,48.0,32.6,30.8,71.9,2.0,60.0,388,2
964,11.0,6.9,0.0,16.7,19.9,52.9,0.95,7.3,229,3
965,11.8,7.1,4.1,21.5,15.1,59.9,0.97,5.5,365,3
966,7.0,14.1,24.6,29.9,30.9,54.2,1.67,38.5,359,2
967,12.4,2.4,14.4,30.6,16.1,47.9,1.05,18.8,386,3
968,6.6,17.9,35.4,29.2,37.1,77.7,2.24,36.1,571,1
969,13.4,4.5,1.7,29.4,19.1,42.7,0.84,7.8,228,3
970,4.1,7.1,130.0,34.1,33.6,62.3,2.04,137.4,442,1
971,10.3,8.3,11.0,28.7,19.2,67.4,1.13,15.2,481,3
972,5.5,6.0,25.6,35.3,19.2,65.3,1.57,36.8,576,2
973,7.0,0.9,1.3,27.9,32.5,48.1,1.55,14.6,449,2
974,11.0,6.4,5.1,24.1,10.5,74.7,1.07,12.1,454,3
975,11.9,6.7,7.9,26.8,25.1,67.2,0.99,17.1,547,3
976,7.4,12.3,19.9,28.6,35.8,83.1,1.93,29.1,674,2
977,15.8,6.6,11.7,25.8,10.0,62.6,1.01,16.7,413,3
978,4.4,13.0,52.5,42.9,22.9,104.0,2.42,80.9,680,1
979,11.9,4.5,0.5,23.0,20.2,48.9,1.08,8.8,496,3
980,4.1,15.7,66.9,38.5,46.0,95.4,2.63,92.3,654,0
981,6.4,7.7,6.9,26.7,25.3,53.8,1.59,21.8,295,2
982,5.4,9.8,18.0,29.7,28.9,69.0,1.58,26.3,674,2
983,3.6,18.9,5.9,29.5,27.6,69.8,1.82,21.1,694,1
984,4.7,14.5,5.0,40.0,45.0,83.4,2.4,25.6,927,0
985,6.3,10.9,13.5,28.7,16.2,63.9,1.17,25.3,478,2
986,13.6,8.4,7.0,22.9,12.1,50.1,1.09,13.7,589,3
987,5.4,23.6,1.1,31.5,37.5,73.7,1.78,24.1,533,1
988,3.6,19.3,14.9,52.3,29.7,74.5,1.78,24.0,515,1
989,7.7,13.6,40.5,35.7,25.3,82.0,2.14,57.9,614,1
990,3.9,19.3,3.5,32.2,25.4,70.0,2.59,10.2,735,1
991,10.2,2.8,4.0,23.4,24.1,54.7,0.87,12.3,433,3
992,11.1,4.8,9.2,24.8,12.2,80.3,0.9,14.0,277,3
993,5.6,11.0,37.8,31.3,32.6,75.0,1.87,47.1,451,1
994,13.8,6.2,1.9,26.2,19.7,64.2,1.05,6.6,369,3
995,4.2,20.1,2.2,51.1,39.8,70.0,2.65,3.8,684,0
996,9.5,7.4,8.6,34.6,31.5,80.3,1.28,29.2,326,2
997,4.1,16.4,21.7,34.6,30.7,71.6,2.18,37.5,754,1
998,5.6,16.5,5.0,27.4,33.8,78.0,1.57,21.9,468,2
999,13.1,4.5,5.4,26.8,20.1,42.1,0.85,11.7,276,3
1000,4.7,23.2,11.3,40.8,53.4,93.8,2.72,27.2,688,0
1001,12.2,2.0,13.4,16.0,24.4,64.1,1.0,18.9,487,3
1002,6.9,2.3,5.5,30.9,32.5,73.7,1.83,10.2,653,2
1003,4.5,14.1,11.9,35.0,30.4,80.2,1.71,24.4,617,1
1004,5.9,9.9,39.3,31.2,16.8,86.3,1.73,52.8,571,2
1005,5.4,3.9,85.4,26.0,24.8,86.8,1.23,95.8,481,2
1006,6.1,9.9,40.6,25.4,19.7,74.2,1.32,46.1,459,2
1007,7.3,14.3,19.5,38.5,28.0,83.8,2.22,31.0,443,1
1008,4.4,6.8,7.3,30.9,37.3,89.0,2.21,30.9,660,1
1009,4.2,9.4,51.4,45.5,36.9,67.6,1.93,64.5,467,1
1010,7.3,15.0,3.1,23.2,22.3,86.5,1.56,21.4,601,2
1011,4.2,15.4,5.2,38.9,43.7,77.5,2.32,25.6,610,1
1012,5.4,29.0,26.6,49.9,31.8,91.6,2.48,51.1,849,0
1013,6.6,11.7,2.2,26.6,27.7,66.0,1.63,3.7,395,2
1014,6.8,12.1,80.4,40.6,45.8,92.2,1.97,103.6,744,1
1015,18.9,7.2,5.3,26.0,27.4,45.3,0.78,12.4,546,3
1016,9.8,4.9,16.4,33.0,26.3,47.0,1.22,23.0,655,2
1017,13.0,2.0,3.5,17.7,18.6,75.2,1.04,8.0,593,3
1018,4.1,22.5,19.9,40.0,51.0,94.4,2.47,49.3,601,0
1019,10.3,5.0,6.2,18.9,13.9,63.2,1.09,8.0,410,3
1020,6.1,6.1,6.7,27.8,26.9,56.7,1.64,18.0,371,2
1021,6.2,15.8,0.1,38.2,41.7,110.1,1.98,12.5,709,1
1022,15.0,4.9,14.8,22.1,12.8,41.0,1.18,20.3,217,3
1023,11.4,1.4,13.9,21.9,26.3,45.1,0.92,15.3,262,3
1024,12.8,4.0,9.2,22.4,18.7,69.0,1.15,12.2,245,3
1025,15.4,9.1,5.3,26.1,19.5,61.7,1.07,8.6,381,3
1026,13.6,4.5,8.9,23.9,17.4,62.9,0.93,17.3,494,3
1027,6.2,7.9,13.5,24.6,29.4,62.7,1.51,17.9,510,2
1028,13.7,8.9,3.5,25.4,24.1,80.0,1.03,11.4,373,3
1029,10.8,3.8,1.5,27.8,13.5,42.1,1.09,5.3,527,3
1030,6.1,11.3,109.4,37.7,43.1,83.0,1.64,119.8,614,1
1031,11.6,4.7,1.2,30.4,17.1,51.1,1.0,8.0,576,3
1032,12.0,4.7,0.1,28.2,17.4,62.7,0.87,7.5,528,3
1033,8.2,5.8,6.3,33.2,31.2,57.3,1.69,20.3,316,2
1034,2.5,16.0,37.0,43.4,44.6,78.1,2.03,52.3,799,0
1035,4.3,-0.1,33.0,36.0,26.0,89.8,1.74,47.9,490,1
1036,5.2,9.2,17.2,33.1,28.3,57.8,1.38,33.0,642,2
1037,9.3,9.9,25.5,34.4,26.3,94.5,1.47,48.8,457,1
1038,5.6,22.3,36.0,42.0,52.3,77.8,2.42,43.7,846,0
1039,3.5,14.8,37.1,35.8,38.0,80.0,2.03,44.5,538,0
1040,5.4,15.8,3.6,32.0,21.8,89.4,1.34,17.4,325,2
1041,12.3,5.5,9.2,23.8,22.5,79.3,1.05,10.6,544,3
1042,10.2,4.4,0.9,27.0,13.9,73.6,1.2,3.1,488,3
1043,9.3,11.1,27.3,35.3,27.4,70.3,1.75,31.9,635,2
1044,11.2,6.6,12.6,25.8,13.0,68.3,1.09,19.0,310,3
1045,5.5,14.1,11.3,22.3,26.8,66.1,1.32,15.4,497,2
1046,8.7,18.1,2.4,36.7,28.8,44.6,1.63,5.8,502,1
1047,5.5,11.9,12.3,31.4,31.7,81.3,1.44,15.1,447,2
1048,16.6,5.4,27.4,22.5,19.0,56.1,0.87,33.8,492,3
1049,5.5,7.1,73.9,35.3,34.3,82.2,2.54,91.1,659,1
1050,13.7,4.4,20.2,31.3,21.6,71.5,1.02,28.6,306,3
1051,23.4,3.7,18.9,31.7,13.5,71.7,0.78,24.8,369,3
1052,7.7,11.5,47.1,28.3,28.6,70.2,1.59,53.9,604,2
1053,2.9,17.5,33.9,55.9,28.6,87.8,2.51,52.7,834,0
1054,11.8,0.3,8.9,26.6,15.1,49.0,0.79,12.6,337,3
1055,8.5,6.5,1.8,30.3,29.6,58.1,1.54,13.5,524,2
1056,10.2,4.4,1.6,26.6,23.2,56.1,0.87,4.6,322,3
1057,11.2,4.1,26.4,29.2,9.3,73.0,1.14,30.5,350,3
1058,11.0,8.3,6.1,23.1,14.0,50.9,0.87,9.2,287,3
1059,3.0,21.5,30.3,39.8,32.2,108.4,2.03,39.3,572,0
1060,5.6,14.4,14.2,30.6,22.4,92.3,1.6,30.6,574,2
1061,4.1,12.3,57.9,37.9,21.3,67.4,1.89,71.0,824,1
1062,15.3,6.4,4.8,26.7,20.8,77.8,1.05,10.4,294,3
1063,6.7,2.1,9.8,31.8,29.2,67.6,1.64,15.1,454,2
1064,13.0,4.0,1.1,23.6,14.0,72.6,1.12,4.7,300,3
1065,11.3,5.1,8.9,29.1,14.6,58.0,0.97,13.8,582,3
1066,7.4,18.2,4.7,29.2,37.9,54.0,1.75,17.1,543,2
1067,11.8,10.5,4.0,29.9,25.5,69.7,1.52,13.5,668,2
1068,16.0,3.9,23.0,25.1,24.2,43.3,1.01,28.6,392,3
1069,10.2,8.9,4.2,23.2,15.6,44.4,0.86,10.9,289,3
1070,15.6,11.6,23.0,23.3,29.5,71.1,1.21,39.0,404,2
1071,6.8,17.9,7.4,35.0,25.0,92.4,2.16,29.0,718,1
1072,5.4,0.7,33.4,31.5,22.8,67.6,2.07,46.2,446,2
1073,7.1,18.5,20.2,35.7,37.7,99.9,2.08,33.8,599,1
1074,12.3,1.8,32.0,21.9,25.5,68.0,1.14,37.2,211,3
1075,17.5,9.8,26.1,24.9,11.3,47.4,0.89,32.3,266,3
1076,5.6,6.4,11.5,33.2,23.6,59.6,1.25,15.6,463,2
1077,13.9,8.1,11.9,25.1,33.8,81.3,1.48,21.9,625,2
1078,10.4,3.7,8.7,27.6,18.4,62.5,1.02,16.0,235,3
1079,11.5,3.2,17.8,26.8,21.3,50.9,0.98,25.3,346,3
1080,8.9,20.7,6.1,37.5,32.9,95.7,1.73,28.0,802,1
1081,10.3,2.5,27.1,26.7,24.1,77.3,1.12,33.3,501,3
1082,5.4,25.4,40.7,29.8,37.6,112.5,3.17,55.3,662,0
1083,7.1,9.0,48.1,26.2,19.8,85.9,1.56,60.2,286,2
1084,10.2,4.3,2.7,26.9,25.6,74.7,0.99,10.7,271,3
1085,5.8,6.5,14.6,37.4,28.2,77.5,1.09,21.9,642,2
1086,2.7,11.7,143.0,36.6,41.8,113.1,2.43,167.3,644,0
1087,2.6,26.0,124.5,37.1,41.9,105.0,2.6,136.4,849,0
1088,10.4,4.1,1.0,19.6,22.9,74.7,0.94,4.6,388,3
1089,13.3,4.6,6.3,27.0,13.4,66.2,1.0,9.7,299,3
1090,11.4,5.4,6.5,24.6,24.4,77.2,0.65,11.2,573,3
1091,3.2,18.9,84.7,39.5,30.1,109.6,3.48,99.4,792,0
1092,5.9,21.2,4.6,32.6,25.8,78.3,1.97,24.6,540,1
1093,8.2,28.2,15.9,31.9,30.3,65.2,1.82,19.4,771,1
1094,2.8,28.2,152.7,43.2,38.6,85.0,2.7,178.1,627,0
1095,15.8,5.3,6.2,26.1,13.0,78.1,0.88,11.5,585,3
1096,3.1,20.9,3.9,32.2,46.5,81.3,2.03,15.4,705,0
1097,10.2,4.6,0.1,32.0,20.2,62.5,0.89,5.1,201,3
1098,10.3,4.5,12.1,31.2,26.6,77.6,0.91,15.2,410,3
